date,CAT_irn,FieldDept,cumulative,rel_freq
2008-12,190050,Zoology_Insects,2,0
2009-01,190050,Zoology_Insects,3,1
2009-05,190050,Zoology_Insects,5,10
2009-07,190050,Zoology_Insects,6,17
2010-07,190050,Zoology_Insects,10,22
2008-06,190053,Zoology_Insects,2,100
2008-12,190053,Zoology_Insects,4,0
2009-01,190053,Zoology_Insects,6,2
2009-05,190053,Zoology_Insects,10,20
2009-06,190053,Zoology_Insects,14,25
2009-07,190053,Zoology_Insects,18,67
2010-07,190053,Zoology_Insects,30,67
2010-08,190053,Zoology_Insects,32,20
2008-06,190063,Zoology_Insects,1,50
2008-12,190063,Zoology_Insects,2,0
2009-01,190063,Zoology_Insects,3,1
2009-05,190063,Zoology_Insects,5,10
2009-07,190063,Zoology_Insects,6,17
2010-07,190063,Zoology_Insects,10,22
2008-06,190073,Zoology_Insects,1,50
2008-12,190073,Zoology_Insects,3,0
2009-02,190073,Zoology_Insects,4,50
2009-05,190073,Zoology_Insects,6,10
2009-07,190073,Zoology_Insects,7,17
2010-07,190073,Zoology_Insects,12,28
2010-12,190073,Zoology_Insects,13,2
2008-06,190092,Zoology_Insects,2,100
2008-12,190092,Zoology_Insects,4,0
2009-01,190092,Zoology_Insects,6,2
2009-05,190092,Zoology_Insects,10,20
2009-06,190092,Zoology_Insects,14,25
2009-07,190092,Zoology_Insects,18,67
2010-07,190092,Zoology_Insects,34,89
2010-08,190092,Zoology_Insects,36,20
2008-06,190095,Zoology_Insects,1,50
2008-12,190095,Zoology_Insects,2,0
2009-01,190095,Zoology_Insects,3,1
2009-05,190095,Zoology_Insects,5,10
2009-07,190095,Zoology_Insects,6,17
2010-07,190095,Zoology_Insects,10,22
2008-06,190099,Zoology_Insects,2,100
2008-11,190099,Zoology_Insects,4,100
2008-12,190099,Zoology_Insects,6,0
2009-01,190099,Zoology_Insects,8,2
2009-05,190099,Zoology_Insects,12,20
2009-06,190099,Zoology_Insects,16,25
2009-07,190099,Zoology_Insects,20,67
2010-07,190099,Zoology_Insects,28,44
2008-06,190108,Zoology_Insects,1,50
2008-12,190108,Zoology_Insects,2,0
2009-02,190108,Zoology_Insects,3,50
2009-05,190108,Zoology_Insects,5,10
2009-07,190108,Zoology_Insects,6,17
2010-07,190108,Zoology_Insects,11,28
2010-08,190108,Zoology_Insects,12,10
2008-06,190117,Zoology_Insects,1,50
2008-12,190117,Zoology_Insects,2,0
2009-01,190117,Zoology_Insects,3,1
2009-05,190117,Zoology_Insects,5,10
2009-07,190117,Zoology_Insects,6,17
2010-07,190117,Zoology_Insects,10,22
2010-08,190117,Zoology_Insects,11,10
2008-06,190123,Zoology_Insects,1,50
2008-12,190123,Zoology_Insects,2,0
2009-01,190123,Zoology_Insects,3,1
2009-05,190123,Zoology_Insects,5,10
2009-07,190123,Zoology_Insects,6,17
2010-07,190123,Zoology_Insects,9,17
2008-06,190154,Zoology_Insects,1,50
2009-01,190154,Zoology_Insects,3,2
2009-05,190154,Zoology_Insects,5,10
2009-07,190154,Zoology_Insects,6,17
2010-07,190154,Zoology_Insects,9,17
2008-06,191096,Zoology_Insects,1,50
2008-12,191096,Zoology_Insects,2,0
2009-01,191096,Zoology_Insects,3,1
2009-06,191096,Zoology_Insects,7,25
2009-07,191096,Zoology_Insects,9,33
2009-08,191096,Zoology_Insects,11,100
2010-07,191096,Zoology_Insects,15,22
2008-06,191097,Zoology_Insects,2,100
2008-12,191097,Zoology_Insects,4,0
2009-02,191097,Zoology_Insects,6,100
2009-06,191097,Zoology_Insects,22,100
2009-07,191097,Zoology_Insects,26,67
2010-07,191097,Zoology_Insects,44,100
2010-08,191097,Zoology_Insects,46,20
2008-06,196564,Anthropology,1,50
2008-12,196564,Anthropology,2,0
2009-01,196564,Anthropology,4,2
2011-04,196564,Anthropology,5,20
2011-06,196564,Anthropology,6,13
2012-04,196564,Anthropology,7,25
2012-09,196564,Anthropology,8,20
2013-01,196564,Anthropology,9,9
2013-03,196564,Anthropology,10,20
2013-10,196564,Anthropology,12,7
2014-03,196564,Anthropology,15,18
2014-07,196564,Anthropology,17,3
2014-08,196564,Anthropology,22,2
2008-06,199717,Zoology_Insects,2,100
2008-12,199717,Zoology_Insects,4,0
2009-02,199717,Zoology_Insects,6,100
2009-06,199717,Zoology_Insects,8,13
2009-07,199717,Zoology_Insects,12,67
2009-08,199717,Zoology_Insects,14,100
2010-08,199717,Zoology_Insects,24,100
2008-06,199749,Zoology_Insects,2,100
2008-12,199749,Zoology_Insects,4,0
2009-01,199749,Zoology_Insects,6,2
2009-06,199749,Zoology_Insects,12,38
2009-07,199749,Zoology_Insects,16,67
2009-08,199749,Zoology_Insects,18,100
2010-08,199749,Zoology_Insects,24,60
2008-06,202290,Anthropology,1,50
2008-09,202290,Anthropology,2,25
2008-12,202290,Anthropology,3,0
2009-01,202290,Anthropology,5,2
2011-04,202290,Anthropology,6,20
2011-06,202290,Anthropology,7,13
2012-04,202290,Anthropology,8,25
2012-09,202290,Anthropology,9,20
2012-11,202290,Anthropology,10,7
2013-01,202290,Anthropology,11,9
2013-02,202290,Anthropology,13,7
2013-03,202290,Anthropology,14,20
2014-06,202290,Anthropology,15,13
2014-07,202290,Anthropology,16,1
2014-08,202290,Anthropology,20,2
2008-06,202407,Zoology_Invertebrates,1,50
2008-12,202407,Zoology_Invertebrates,2,0
2009-01,202407,Zoology_Invertebrates,4,2
2012-08,202407,Zoology_Invertebrates,5,10
2009-05,206581,Botany,2,10
2009-07,206581,Botany,4,33
2010-10,206581,Botany,5,100
2009-07,207315,Botany,2,33
2010-10,207315,Botany,3,100
2009-07,207327,Botany,2,33
2010-10,207327,Botany,3,100
2010-11,207327,Botany,4,100
2009-07,209337,Botany,2,33
2010-10,209337,Botany,3,100
2009-06,249401,Botany,2,13
2010-10,249401,Botany,3,100
2009-06,253392,Botany,1,6
2010-10,253392,Botany,2,100
2010-10,254905,Botany,1,100
2010-10,255102,Botany,1,100
2010-10,255981,Botany,1,100
2009-06,255986,Botany,1,6
2010-10,255986,Botany,2,100
2010-10,256685,Botany,1,100
2008-03,258635,Botany,1,100
2008-12,258635,Botany,2,0
2010-10,258635,Botany,3,100
2012-07,258635,Botany,4,25
2009-06,265887,Botany,2,13
2010-10,265887,Botany,3,100
2009-06,265888,Botany,2,13
2010-10,265888,Botany,3,100
2008-04,355144,Zoology_Invertebrates,2,100
2012-08,355144,Zoology_Invertebrates,4,20
2013-04,355144,Zoology_Invertebrates,6,7
2009-01,378860,Anthropology,6,5
2011-04,378860,Anthropology,9,60
2011-06,378860,Anthropology,15,75
2012-04,378860,Anthropology,18,75
2013-01,378860,Anthropology,21,27
2013-02,378860,Anthropology,27,20
2013-03,378860,Anthropology,30,60
2014-06,378860,Anthropology,33,38
2014-08,378860,Anthropology,48,6
2009-01,378896,Anthropology,2,2
2011-04,378896,Anthropology,3,20
2011-06,378896,Anthropology,4,13
2012-04,378896,Anthropology,5,25
2012-09,378896,Anthropology,6,20
2013-01,378896,Anthropology,8,18
2013-02,378896,Anthropology,9,3
2013-03,378896,Anthropology,10,20
2013-10,378896,Anthropology,12,7
2014-07,378896,Anthropology,15,4
2014-08,378896,Anthropology,20,2
2009-01,378923,Anthropology,6,5
2011-04,378923,Anthropology,8,40
2011-06,378923,Anthropology,10,25
2012-04,378923,Anthropology,12,50
2013-01,378923,Anthropology,16,36
2013-02,378923,Anthropology,20,13
2013-03,378923,Anthropology,22,40
2013-10,378923,Anthropology,26,14
2014-07,378923,Anthropology,30,6
2014-08,378923,Anthropology,38,3
2012-08,400280,Zoology_Invertebrates,1,10
2013-04,400280,Zoology_Invertebrates,2,3
2012-08,400532,Zoology_Invertebrates,1,10
2013-04,400532,Zoology_Invertebrates,2,3
2012-08,405643,Zoology_Invertebrates,2,20
2013-05,405643,Zoology_Invertebrates,4,25
2012-08,412369,Zoology_Invertebrates,3,30
2013-05,412369,Zoology_Invertebrates,6,38
2012-08,414271,Zoology_Invertebrates,1,10
2013-04,414271,Zoology_Invertebrates,2,3
2012-08,416137,Zoology_Invertebrates,1,10
2013-04,416137,Zoology_Invertebrates,2,3
2012-08,416401,Zoology_Invertebrates,2,20
2013-05,416401,Zoology_Invertebrates,4,25
2012-08,416402,Zoology_Invertebrates,2,20
2013-05,416402,Zoology_Invertebrates,4,25
2012-08,416403,Zoology_Invertebrates,2,20
2013-05,416403,Zoology_Invertebrates,4,25
2012-08,416404,Zoology_Invertebrates,2,20
2013-05,416404,Zoology_Invertebrates,4,25
2012-08,416405,Zoology_Invertebrates,2,20
2013-05,416405,Zoology_Invertebrates,4,25
2012-08,416406,Zoology_Invertebrates,2,20
2013-05,416406,Zoology_Invertebrates,4,25
2012-08,416407,Zoology_Invertebrates,2,20
2013-05,416407,Zoology_Invertebrates,4,25
2012-08,416408,Zoology_Invertebrates,2,20
2013-05,416408,Zoology_Invertebrates,4,25
2012-08,417702,Zoology_Invertebrates,3,30
2013-05,417702,Zoology_Invertebrates,6,38
2012-08,417760,Zoology_Invertebrates,2,20
2012-08,417851,Zoology_Invertebrates,3,30
2013-05,417851,Zoology_Invertebrates,6,38
2012-08,417868,Zoology_Invertebrates,1,10
2012-08,417907,Zoology_Invertebrates,1,10
2013-04,417907,Zoology_Invertebrates,2,3
2012-08,417910,Zoology_Invertebrates,2,20
2013-05,417910,Zoology_Invertebrates,4,25
2012-08,417913,Zoology_Invertebrates,3,30
2013-04,417913,Zoology_Invertebrates,9,21
2013-05,417913,Zoology_Invertebrates,12,38
2012-08,417939,Zoology_Invertebrates,2,20
2013-05,417939,Zoology_Invertebrates,4,25
2012-08,418138,Zoology_Invertebrates,4,40
2013-04,418138,Zoology_Invertebrates,8,14
2013-05,418138,Zoology_Invertebrates,12,50
2012-08,418139,Zoology_Invertebrates,3,30
2012-08,418181,Zoology_Invertebrates,3,30
2013-05,418181,Zoology_Invertebrates,6,38
2012-08,418251,Zoology_Invertebrates,3,30
2013-05,418251,Zoology_Invertebrates,6,38
2012-08,418466,Zoology_Invertebrates,2,20
2013-05,418466,Zoology_Invertebrates,4,25
2012-08,418467,Zoology_Invertebrates,1,10
2013-04,418467,Zoology_Invertebrates,2,3
2012-08,418484,Zoology_Invertebrates,1,10
2012-08,418490,Zoology_Invertebrates,1,10
2013-04,418490,Zoology_Invertebrates,2,3
2012-08,418508,Zoology_Invertebrates,2,20
2012-08,418836,Zoology_Invertebrates,2,20
2013-05,418836,Zoology_Invertebrates,4,25
2012-08,418886,Zoology_Invertebrates,2,20
2013-05,418886,Zoology_Invertebrates,4,25
2012-08,419854,Zoology_Invertebrates,2,20
2013-05,419854,Zoology_Invertebrates,4,25
2012-08,419990,Zoology_Invertebrates,1,10
2013-04,419990,Zoology_Invertebrates,2,3
2012-08,420185,Zoology_Invertebrates,1,10
2013-04,420185,Zoology_Invertebrates,2,3
2012-08,420290,Zoology_Invertebrates,1,10
2013-04,420290,Zoology_Invertebrates,2,3
2012-08,420465,Zoology_Invertebrates,1,10
2013-04,420465,Zoology_Invertebrates,2,3
2012-08,420492,Zoology_Invertebrates,2,20
2013-05,420492,Zoology_Invertebrates,4,25
2012-08,420538,Zoology_Invertebrates,1,10
2013-04,420538,Zoology_Invertebrates,2,3
2012-08,420543,Zoology_Invertebrates,1,10
2013-04,420543,Zoology_Invertebrates,2,3
2012-08,420559,Zoology_Invertebrates,1,10
2013-04,420559,Zoology_Invertebrates,2,3
2012-08,420574,Zoology_Invertebrates,1,10
2013-04,420574,Zoology_Invertebrates,2,3
2012-08,420617,Zoology_Invertebrates,1,10
2013-04,420617,Zoology_Invertebrates,2,3
